"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 13:30:27 GMT 2024","Tue Apr 09 13:30:27 GMT 2024","102","tests","test_popups_alerts_page","TestAction","","","test_dismiss_js_confirm[chromium]",""
"passed","Tue Apr 09 13:30:00 GMT 2024","Tue Apr 09 13:30:00 GMT 2024","85","tests","test_action_page","TestAction","","","test_click_and_hold_box[chromium]",""
"passed","Tue Apr 09 13:30:01 GMT 2024","Tue Apr 09 13:30:07 GMT 2024","6465","tests","test_ajax_loader","TestAjaxLoader","","","test_ajax_loader[chromium]",""
"passed","Tue Apr 09 13:29:56 GMT 2024","Tue Apr 09 13:29:56 GMT 2024","134","tests","test_action_page","TestAction","","","test_drag_and_drop[chromium]",""
"passed","Tue Apr 09 13:30:16 GMT 2024","Tue Apr 09 13:30:17 GMT 2024","943","tests","test_popups_alerts_page","TestAction","","","test_modal_popup[chromium]",""
"passed","Tue Apr 09 13:30:28 GMT 2024","Tue Apr 09 13:30:33 GMT 2024","4877","tests","test_todo_list","TestTodoList","","","test_todo_list[chromium]",""
"passed","Tue Apr 09 13:29:45 GMT 2024","Tue Apr 09 13:29:55 GMT 2024","9989","tests","test_accordion_text_affects","TestAutocompleteTextField","","","test_accordion_text_affects[chromium]",""
"passed","Tue Apr 09 13:30:08 GMT 2024","Tue Apr 09 13:30:08 GMT 2024","74","tests","test_autocomplete_text_field","TestAutocompleteTextField","","","test_autocomplete_text_field[chromium]",""
"passed","Tue Apr 09 13:30:13 GMT 2024","Tue Apr 09 13:30:14 GMT 2024","313","tests","test_dropdown_checkboxes_radio_buttons_page","TestDropdownCheckboxRadio","","","test_checkbox[chromium]",""
"passed","Tue Apr 09 13:30:18 GMT 2024","Tue Apr 09 13:30:25 GMT 2024","7300","tests","test_popups_alerts_page","TestAction","","","test_ajax_popup[chromium]",""
"passed","Tue Apr 09 13:29:57 GMT 2024","Tue Apr 09 13:29:57 GMT 2024","48","tests","test_action_page","TestAction","","","test_double_click[chromium]",""
"passed","Tue Apr 09 13:30:15 GMT 2024","Tue Apr 09 13:30:15 GMT 2024","221","tests","test_dropdown_checkboxes_radio_buttons_page","TestDropdownCheckboxRadio","","","test_radio_button[chromium]",""
"passed","Tue Apr 09 13:29:58 GMT 2024","Tue Apr 09 13:29:59 GMT 2024","387","tests","test_action_page","TestAction","","","test_hover_and_alert[chromium]",""
"passed","Tue Apr 09 13:30:09 GMT 2024","Tue Apr 09 13:30:10 GMT 2024","736","tests","test_contact_page","TestContactForm","","","test_contact_form[chromium]",""
"passed","Tue Apr 09 13:30:26 GMT 2024","Tue Apr 09 13:30:26 GMT 2024","111","tests","test_popups_alerts_page","TestAction","","","test_accept_js_confirm[chromium]",""
"passed","Tue Apr 09 13:30:10 GMT 2024","Tue Apr 09 13:30:13 GMT 2024","2068","tests","test_dropdown_checkboxes_radio_buttons_page","TestDropdownCheckboxRadio","","","test_dropdown[chromium]",""
